Data for the Cumulative GCskew plot 
Winsize = 50000	Increament  = 50000
Window Number	 Cumulative[(G - C) / (G + C)] 
1	-0.03660501912236214
2	-0.08534093201160431
3	-0.13195852935314178
4	-0.18421634659171104
5	-0.20729600079357624
6	-0.22061262279748917
7	-0.2545907087624073
8	-0.2839141897857189
9	-0.29822237230837345
10	-0.3509191144257784
11	-0.3948227781802416
12	-0.43428936414420605
13	-0.4456227794289589
14	-0.4839847832918167
15	-0.49530882481485605
16	-0.5067717069759965
17	-0.5402510548010468
18	-0.563176860101521
19	-0.6009283708408475
20	-0.6320787454023957
21	-0.6632623029872775
22	-0.700453850440681
23	-0.7194905383512378
24	-0.7513103438541293
25	-0.7836664943024516
26	-0.805742665193975
27	-0.8380910186097026
28	-0.8465662598609924
29	-0.8657840751111507
30	-0.9021183662116528
31	-0.9404669292271137
32	-0.9958192817866802
33	-1.021731836721301
34	-1.0039430316537619
35	-0.9476007875055075
36	-0.9241399150341749
37	-0.8917334247380495
38	-0.8653345257043839
39	-0.8195412121713161
40	-0.8010664004832506
41	-0.7768223043531179
42	-0.7323407251387835
43	-0.7092625256627798
44	-0.6700826454907656
45	-0.6438576634973288
46	-0.6200547851622105
47	-0.577424418181181
48	-0.5323006920516491
49	-0.4878000095486641
50	-0.4518333077430725
51	-0.40877480059862137
52	-0.3857321422547102
53	-0.3519753944128752
54	-0.34029403142631054
55	-0.3014430049806833
56	-0.2636632788926363
57	-0.21269947476685047
58	-0.19873090367764235
59	-0.1743005709722638
60	-0.13656018767505884
61	-0.087848917581141
62	-0.03784257639199495
63	-0.012126305140554905
64	0.017215549014508724
65	0.034815301187336445
66	0.06827814970165491
67	0.07809334807097912
68	0.11220150254666805
69	0.16964407823979855
70	0.19748901948332787
71	0.22887378185987473
72	0.26162291318178177
73	0.30486369505524635
74	0.3532582260668278
75	0.3605179679580033
76	0.3952587922103703
77	0.41183162527158856
78	0.42239862540736794
79	0.46382988849654794
80	0.4860069924034178
81	0.47975063836202025
82	0.4458304694853723
83	0.3984437114559114
84	0.3880005623213947
85	0.3642362314276397
86	0.31123676849529147
87	0.2826898875646293
88	0.2508268575184047
89	0.22618580935522914
90	0.20546124083921313
91	0.15346939815208316
92	0.13406623480841517
93	0.12480060709640384
